value_norm,Akkademia_df,CDLI_df,Cuneiml_df,Nuolenna_df,TextFabric_df,osl_df,wiki_df,oslID
|an.šeš.ki|,,𒀭𒋀𒆠,,𒀭𒋀𒆠,,,,
|anše.an|,,𒀲𒀭,,𒀲𒀭,,,,
|anše.arad|,,𒀲𒀴,,𒀲𒀴,,,,
|anše.igi.dib|,,𒀲𒅆𒁳,,𒀲𒅆𒁳,,,,
|anše.igi.eš₂|,,𒀲𒅆𒂠,,𒀲𒅆𒂠,,,,
|anše.kur.ra|,,𒀲𒆳𒊏,,𒀲𒆳𒊏,,,,
|anše.kur|,,𒀲𒆳,,𒀲𒆳,,,,
|anše.pa|,,𒀲𒉺,,𒀲𒉺,,,,
|anše.sal|,,𒀲𒊩,,𒀲𒊩,,,,
|anše.uš|,,𒀲𒍑,,𒀲𒍑,,,,
|arad.anše|,,𒀴𒀲,,𒀴𒀲,,,,
|arad.ku|,,𒀴𒆪,,𒀴𒆪,,,,
|arad.ra|,,𒀴𒊏,,𒀴𒊏,,,,
|arad×kur|,,𒀵,,𒀵,,,,
|arkab₂.ib|,,𒀶𒅁,,𒀶𒅁,,,,
|a×a|,,𒀁,,𒀁,,,,
|a×bad|,,𒀂,,𒀂,,,,
|a×ha|,,𒀄,,𒀄,,,,
|a×igi|,,𒀅,,𒀅,,,,
|a×lagar@g|,,𒀆,,𒀆,,,,
|a×muš|,,𒀇,,𒀇,,,,
|a×sag|,,𒀈,,𒀈,,,,
|aš&aš&aš%aš&aš&aš|,,𒀽,,𒀽,,,,
|aš&aš&aš.aš&aš&aš.aš|,,𒀼𒀼𒀸,,𒀼𒀼𒀸,,,,
|aš&aš&aš.aš&aš&aš.tab|,,𒀼𒀼𒋰,,𒀼𒀼𒋰,,,,
|aš&aš&aš.aš&aš&aš|,,𒀼𒀼,,𒀼𒀼,,,,
|aš&aš&aš.aš|,,𒀼𒀸,,𒀼𒀸,,,,
|aš&aš&aš.tab|,,𒀼𒋰,,𒀼𒋰,,,,
|aš&aš&aš|,,𒀼,,𒀼,,,,
|aš&aš.tug₂&tug₂.tug₂&tug₂.pap|,,𒀻,,𒀻,,,,
|aš+sur|,,𒀸𒋩,,𒀸𒋩,,,,
|aš.aš.aš|,,𒀸𒀸𒀸,,𒀸𒀸𒀸,,,,
|aš.aš|,,𒀸𒀸,,𒀸𒀸,,,,
|aš.hi×diš.gi₄|,,𒀸𒄱𒄄,,𒀸𒄱𒄄,,,,
|aš@k&aš@k&aš@k&aš@k|,,𒍧,,𒍧,,,,
|aš@z&aš@z&aš@z&aš@z|,,𒍦,,𒍦,,,,
|aš₂.gar₃|,,𒀾𒃼,,𒀾𒃼,,,,
|aš₂.u&u|,,𒐋,,𒐋,,,,
|aš₂.u|,,𒀾𒌋,,𒀾𒌋,,,,
|a₂.aš|,,𒀉𒀸,,𒀉𒀸,,,,
|a₂.ga₂×sal|,,𒀉𒃣,,𒀉𒃣,,,,
|a₂.kal|,,𒀉𒆗,,𒀉𒆗,,,,
|a₂.muš₃@g|,,𒀉𒈽,,𒀉𒈽,,,,
|a₂.muš₃|,,𒀉𒈹,,𒀉𒈹,,,,
|a₂.pa|,,𒀉𒉺,,𒀉𒉺,,,,
|a₂.sal|,,𒀉𒊩,,𒀉𒊩,,,,
|a₂.tur|,,𒀉𒌉,,𒀉𒌉,,,,
|a₂.u.kid|,,𒀉𒌋𒆤,,𒀉𒌋𒆤,,,,
|a₂.ud.du|,,𒀉𒌓𒁺,,𒀉𒌓𒁺,,,,
|a₂.za.an.muš₃|,,𒀀𒍝𒀭𒈹,,𒀀𒍝𒀭𒈹,,,,
|a₂.za.muš₃@g|,,𒀉𒍝𒈽,,𒀉𒍝𒈽,,,,
|bad.aš|,,𒁁𒀸,,𒁁𒀸,,,,
|bad.bad|,,𒁁𒁁,,𒁁𒁁,,,,
|bad.igi.bad|,,𒁁𒅆𒁁,,𒁁𒅆𒁁,,,,
|bad.kaskal|,,𒁁𒆜,,𒁁𒆜,,,,
|bad.lu₂|,,𒁁𒇽,,𒁁𒇽,,,,
|bad.mi|,,𒁁𒈪,,𒁁𒈪,,,,
|bad.ud|,,𒁁𒌓,,𒁁𒌓,,,,
|bad.x|,,𒁁,,𒁁,,,,
|bal&bal|,,𒁅,,𒁅,,,,
|balag.a|,,𒁆𒀀,,𒁆𒀀,,,,
|balag.lul|,,𒁆𒈜,,𒁆𒈜,,,,
|balag.tur|,,𒁆𒌉,,𒁆𒌉,,,,
|bar.3×an|,,𒁇𒀮𒀭,,𒁇𒀮𒀭,,,,
|bar.an|,,𒁇𒀭,,𒁇𒀭,,,,
|bar.edin|,,𒁇𒂔,,𒁇𒂔,,,,
|bar.hu.kak|,,𒁇𒄷𒆕,,𒁇𒄷𒆕,,,,
|bara₂.pap.pap|,,𒁈𒉽𒉽,,𒁈𒉽𒉽,,,,
|bara₂.pap.še.pap|,,𒁈𒉽𒊺𒉽,,𒁈𒉽𒊺𒉽,,,,
|bi.a.sud|,,𒁉𒀀𒋤,,𒁉𒀀𒋤,,,,
|bi.dar|,,𒁉𒁯,,𒁉𒁯,,,,
|bi.din|,,𒁉𒁷,,𒁉𒁷,,,,
|bi.lul|,,𒁉𒈜,,𒁉𒈜,,,,
|bi.mi|,,𒁉𒈪,,𒁉𒈪,,,,
|bi.uš.sa|,,𒁉𒍑𒊓,,𒁉𒍑𒊓,,,,
|bi.u₂.sa|,,𒁉𒌑𒊓,,𒁉𒌑𒊓,,,,
|bi.ziz₂.a.an|,,𒁉𒀾𒀀𒀭,,𒁉𒀾𒀀𒀭,,,,
|bi.ziz₂.an.na|,,𒁉𒀾𒀭𒈾,,𒁉𒀾𒀭𒈾,,,,
|bi.ziz₂.an|,,𒁉𒀾𒀭,,𒁉𒀾𒀭,,,,
|bi.ziz₂|,,𒁉𒀾,,𒁉𒀾,,,,
|bi×gar|,,𒁋,,𒁋,,,,
|bi×igi@g|,,𒁌,,𒁌,,,,
|bu%bu|,,𒁐,,𒁐,,,,
|bu&bu.ab|,,𒁎,,𒁎,,,,
|bu&bu.un|,,𒁏,,𒁏,,,,
|bu.nun.še.eš₂|,,𒁍𒉣𒊺𒂠,,𒁍𒉣𒊺𒂠,,,,
|bulug&bulug|,,𒁒,,𒁒,,,,
|bulug.nagar|,,𒁑𒉄,,𒁑𒉄,,,,
|bur₂.bur₂|,,𒁔𒁔,,𒁔𒁔,,,,
|da.uš|,,𒁕𒍑,,𒁕𒍑,,,,
|dag.kisim₅|,,𒁖𒆨,,𒁖𒆨,,,,
|dag.kisim₅×(a.maš)|,,𒁗,,𒁗,,,,
|dag.kisim₅×(ga.maš)|,,𒁜,,𒁜,,,,
|dag.kisim₅×(ir.lu)|,,𒁢,,𒁢,,,,
|dag.kisim₅×(lu.maš₂)|,,𒁦,,𒁦,,,,
|dag.kisim₅×(pap.pap)|,,𒁩,,𒁩,,,,
|dag.kisim₅×(u₂.gir₂)|,,𒁬,,𒁬,,,,
|dag.kisim₅×amar|,,𒁘,,𒁘,,,,
|dag.kisim₅×balag|,,𒁙,,𒁙,,,,
|dag.kisim₅×bi|,,𒁚,,𒁚,,,,
|dag.kisim₅×ga|,,𒁜,,𒁜,,,,
|dag.kisim₅×gir₂|,,𒁞,,𒁞,,,,
|dag.kisim₅×gi|,,𒁝,,𒁝,,,,
|dag.kisim₅×gud|,,𒁟,,𒁟,,,,
|dag.kisim₅×ha|,,𒁠,,𒁠,,,,
|dag.kisim₅×ir|,,𒁡,,𒁡,,,,
|dag.kisim₅×kak|,,𒁣,,𒁣,,,,
|dag.kisim₅×la|,,𒁤,,𒁤,,,,
|dag.kisim₅×lum|,,𒁧,,𒁧,,,,
|dag.kisim₅×lu|,,𒁥,,𒁥,,,,
|dag.kisim₅×ne|,,𒁨,,𒁨,,,,
|dag.kisim₅×si|,,𒁪,,𒁪,,,,
|dag.kisim₅×tak₄|,,𒁫,,𒁫,,,,
|dag.kisim₅×uš|,,𒁭,,𒁭,,,,
|dag.kisim₅×x|,,𒁖,,𒁖,,,,
|di.di|,,𒁲𒁲,,𒁲𒁲,,,,
|di.x|,,𒁲,,𒁲,,,,
|dim×eš|,,𒒋,,𒒋,,,,
|dim×maš|,,𒒌,,𒒌,,,,
|dim×še|,,𒁵,,𒁵,,,,
|dim₂×ud|,,𒒍,,𒒍,,,,
|din.kaskal.u@g.diš|,,𒁸,,𒁸,,,,
|din.še.nun&nun|,,𒁷𒊺𒉪,,𒁷𒊺𒉪,,,,
|diš.dar|,,𒁹𒁯,,𒁹𒁯,,,,
|diš.diš.diš.u.u.u|,,𒁹𒁹𒁹𒌍,,𒁹𒁹𒁹𒌍,,,,
|diš.diš.diš.u.u|,,𒁹𒁹𒁹𒌋𒌋,,𒁹𒁹𒁹𒌋𒌋,,,,
|diš.diš.diš|,,𒁹𒁹𒁹,,𒁹𒁹𒁹,,,,
|du&du.du&du|,,𒁻𒁻,,𒁻𒁻,,,,
|du&du|,,𒁻,,𒁻,,,,
|du.du.du.du|,,𒁺𒁺𒁺𒁺,,𒁺𒁺𒁺𒁺,,,,
|du.du|,,𒁺𒁺,,𒁺𒁺,,,,
|du.hub₂|,,𒁺𒄸,,𒁺𒄸,,,,
|du@g.du@g|,,𒁼𒁼,,𒁼𒁼,,,,
|du@s.a|,,𒁽𒀀,,𒁽𒀀,,,,
|du@s.du@s|,,𒁽𒁽,,𒁽𒁽,,,,
|dub.nagar|,,𒁾𒉄,,𒁾𒉄,,,,
|dub×eš₂|,,𒁿,,𒁿,,,,
|dug.bur|,,𒂁𒁓,,𒂁𒁓,,,,
|dug.dug|,,𒂁𒂁,,𒂁𒂁,,,,
|dug.sila₃.bur.na|,,𒂁𒋡𒁓𒈾,,𒂁𒋡𒁓𒈾,,,,
|dug.sila₃.bur|,,𒒄,,𒒄,,,,
|dug×igi@g|,,𒒚,,𒒚,,,,
|dug×kušu₂|,,𒒝,,𒒝,,,,
|dug×ni|,,𒒦,,𒒦,,,,
|dun.ne.tur|,,𒂄𒉈𒌉,,𒂄𒉈𒌉,,,,
|dun.tur|,,𒂄𒌉,,𒂄𒌉,,,,
|dun₃@g.uš|,,𒂆𒍑,,𒂆𒍑,,,,
|dun₃@g@g.uš|,,𒂇𒍑,,𒂇𒍑,,,,
|dun₃@g@g.za|,,𒂇𒍝,,𒂇𒍝,,,,
|dur₂.dur₂|,,𒂉𒂉,,𒂉𒂉,,,,
|e&e.nun&nun|,,𒂌,,𒂌,,,,
|e.sud.hub₂×ud|,,𒂊𒋤𒄽,,𒂊𒋤𒄽,,,,
|e.tum.ga₂×nun&nun|,,𒂊𒌈𒃡,,𒂊𒌈𒃡,,,,
|e.tum|,,𒂊𒌈,,𒂊𒌈,,,,
|edin.a.lal|,,𒂔𒀀𒇲,,𒂔𒀀𒇲,,,,
|edin.a|,,𒂔𒀀,,𒂔𒀀,,,,
|edin.lal.a|,,𒂔𒇲𒀀,,𒂔𒇲𒀀,,,,
|en%en.im%im|,,𒂛𒅐,,𒂛𒅐,,,,
|en%en|,,𒂛,,𒂛,,,,
|en.dim₂.gig|,,𒂗𒁶,,𒂗𒁶,,,,
|en.gi|,,𒂗𒄀,,𒂗𒄀,,,,
|en.kid|,,𒂗𒆤,,𒂗𒆤,,,,
|en.ki|,,𒂗𒆠,,𒂗𒆠,,,,
|en.ku.a|,,𒂗𒆪𒀀,,𒂗𒆪𒀀,,,,
|en.li|,,𒂗𒇷,,𒂗𒇷,,,,
|en.maš.kak|,,𒂗𒈦𒆕,,𒂗𒈦𒆕,,,,
|en.me.ad.ku₃|,,𒂗𒈨𒀜𒆬,,𒂗𒈨𒀜𒆬,,,,
|en.me.an.muš₃|,,𒂗𒈨𒀭𒈹,,𒂗𒈨𒀭𒈹,,,,
|en.me.gi|,,𒂗𒈨𒄀,,𒂗𒈨𒄀,,,,
|en.me.lagar|,,𒂗𒈨𒇬,,𒂗𒈨𒇬,,,,
|en.me.li|,,𒂗𒈨𒇷,,𒂗𒈨𒇷,,,,
|en.me.mu|,,𒂗𒈨𒈬,,𒂗𒈨𒈬,,,,
|en.me.zi.an.na|,,𒂗𒈨𒍣𒀭𒈾,,𒂗𒈨𒍣𒀭𒈾,,,,
|en.nu.nunuz.zi.an.ud|,,𒂗𒉡𒉭𒍣𒀭𒌓,,𒂗𒉡𒉭𒍣𒀭𒌓,,,,
|en.nunuz.dim₂|,,𒂗𒉭𒁶,,𒂗𒉭𒁶,,,,
|en.nunuz.zi.an.ud|,,𒂗𒉭𒍣𒀭𒌓,,𒂗𒉭𒍣𒀭𒌓,,,,
|en.nunuz.zi.an.šeš.ki|,,𒂗𒉭𒍣𒀭𒋀𒆠,,𒂗𒉭𒍣𒀭𒋀𒆠,,,,
|en.pap.igi@g.nun.me.ezen×kaskal|,,𒂗𒉽𒅊𒉣𒈨𒂬,,𒂗𒉽𒅊𒉣𒈨𒂬,,,,
|en.sal.me.nunuz.zi.an.šeš.ki|,,𒂗𒊩𒈨𒉭𒍣𒀭𒋀𒆠,,𒂗𒊩𒈨𒉭𒍣𒀭𒋀𒆠,,,,
|en.ti|,,𒂗𒋾,,𒂗𒋾,,,,
|en.zu|,,𒂗𒍪,,𒂗𒍪,,,,
|en.šeš|,,𒂗𒋀,,𒂗𒋀,,,,
|en@en|,,𒂜,,𒂜,,,,
|en×gan₂@t|,,𒂙,,𒂙,,,,
|en×me.gi|,,𒂚𒄀,,𒂚𒄀,,,,
|en×me|,,𒂚,,𒂚,,,,
|eren.šu.me|,,𒂞𒋗𒈨,,𒂞𒋗𒈨,,,,
|erin₂+x|,,𒒭,,𒒭,,,,
|erin₂.na|,,𒂟𒈾,,𒂟𒈾,,,,
|ezen@s×aš|,,𒒯,,𒒯,,,,
|ezen@s×hi|,,𒒰,,𒒰,,,,
|ezen@s×igi@g|,,𒒱,,𒒱,,,,
|ezen@s×lal|,,𒒳,,𒒳,,,,
|ezen@s×la|,,𒒲,,𒒲,,,,
|ezen@s×mes|,,𒒵,,𒒵,,,,
|ezen@s×me|,,𒒴,,𒒴,,,,
|ezen@s×su|,,𒒶,,𒒶,,,,
|ezen×(a.lal)|,,𒂣,,𒂣,,,,
|ezen×(a.lal₂)|,,𒂤,,𒂤,,,,
|ezen×an|,,𒂥,,𒂥,,,,
|ezen×a|,,𒂢,,𒂢,,,,
|ezen×bad.an|,,𒂦𒀭,,𒂦𒀭,,,,
|ezen×bad|,,𒂦,,𒂦,,,,
|ezen×dun₃@g@g|,,𒂨,,𒂨,,,,
|ezen×dun₃@g|,,𒂧,,𒂧,,,,
|ezen×ha|,,𒂩,,𒂩,,,,
|ezen×igi@g|,,𒂫,,𒂫,,,,
|ezen×kaskal|,,𒂬,,𒂬,,,,
|ezen×ku₃|,,𒂮,,𒂮,,,,
|ezen×lal₂|,,𒂰,,𒂰,,,,
|ezen×la|,,𒂯,,𒂯,,,,
|ezen×li|,,𒂱,,𒂱,,,,
|ezen×lu|,,𒂲,,𒂲,,,,
|ezen×su|,,𒒷,,𒒷,,,,
|ezen×ud|,,𒂴,,𒂴,,,,
|ezen×u₂|,,𒂳,,𒂳,,,,
|e×pap|,,𒂋,,𒂋,,,,
|eš₂.bu.nun.eš₂.tu|,,𒂠𒁍𒉣𒂠𒌅,,𒂠𒁍𒉣𒂠𒌅,,,,
|eš₂.hul₂|,,𒂠𒄾,,𒂠𒄾,,,,
|eš₂.ka|,,𒂠𒅗,,𒂠𒅗,,,,
|eš₂.mah|,,𒂠𒈤,,𒂠𒈤,,,,
|eš₂.pap.pap|,,𒂠𒉽𒉽,,𒂠𒉽𒉽,,,,
|eš₂.sud.nun.eš₂.tu|,,𒂠𒋤𒉣𒂠𒌅,,𒂠𒋤𒉣𒂠𒌅,,,,
|eš₂.ud|,,𒂠𒌓,,𒂠𒌓,,,,
|eš₂.še|,,𒂠𒊺,,𒂠𒊺,,,,
|e₂.an.še.naga|,,𒂍𒀭𒊺𒉀,,𒂍𒀭𒊺𒉀,,,,
|e₂.a|,,𒂍𒀀,,𒂍𒀀,,,,
|e₂.gi.na.ab.hi|,,𒂍𒄀𒈾𒀊𒄭,,𒂍𒄀𒈾𒀊𒄭,,,,
|e₂.gi.na.ab.tum|,,𒂍𒄀𒈾𒀊𒌈,,𒂍𒄀𒈾𒀊𒌈,,,,
|e₂.gi.na.ab.u.gud|,,𒂍𒄀𒈾𒀊𒌋𒄞,,𒂍𒄀𒈾𒀊𒌋𒄞,,,,
|e₂.giš.tug₂.pi.an.še.naga|,,𒂍𒄑𒌆𒉿𒀭𒊺𒉀,,𒂍𒄑𒌆𒉿𒀭𒊺𒉀,,,,
|e₂.ki.sum.ga|,,𒂍𒆠𒋧𒂵,,𒂍𒆠𒋧𒂵,,,,
|e₂.kur.bad|,,𒂍𒆳𒁁,,𒂍𒆳𒁁,,,,
|e₂.lu₂×gan₂@t.a|,,𒂍𒈂𒀀,,𒂍𒈂𒀀,,,,
|e₂.mi|,,𒂍𒈪,,𒂍𒈪,,,,
|e₂.nun|,,𒂍𒉣,,𒂍𒉣,,,,
|e₂.sal|,,𒂍𒊩,,𒂍𒊩,,,,
|e₂.sig₄|,,𒂍𒋞,,𒂍𒋞,,,,
|e₂.uš.bu.da|,,𒂍𒍑𒁍𒁕,,𒂍𒍑𒁍𒁕,,,,
|e₂.še|,,𒂍𒊺,,𒂍𒊺,,,,
|e₂×(a.ha.da)|,,𒂎,,𒂎,,,,
|e₂×gar|,,𒂏,,𒂏,,,,
|e₂×mi|,,𒂐,,𒂐,,,,
|e₂×sal|,,𒂑,,𒂑,,,,
|e₂×u|,,𒂓,,𒂓,,,,
|e₂×še|,,𒂒,,𒂒,,,,
|ga.a|,,𒂵𒀀,,𒂵𒀀,,,,
|ga.balag|,,𒂵𒁆,,𒂵𒁆,,,,
|ga.diš|,,𒂵𒁹,,𒂵𒁹,,,,
|ga.ga|,,𒂵𒂵,,𒂵𒂵,,,,
|ga.kad₃|,,𒂵𒆑,,𒂵𒆑,,,,
|ga.kaskal|,,𒂵𒆜,,𒂵𒆜,,,,
|ga.lagab|,,𒂵𒆸,,𒂵𒆸,,,,
|ga.ma₂.igi@g|,,𒂵𒈣𒅊,,𒂵𒈣𒅊,,,,
|ga.ni|,,𒂵𒉌,,𒂵𒉌,,,,
|ga.uz₃.hi|,,𒂵𒍚𒄭,,𒂵𒍚𒄭,,,,
|ga.uz₃.igi@g|,,𒂵𒍚𒅊,,𒂵𒍚𒅊,,,,
|ga.uz₃|,,𒂵𒍚,,𒂵𒍚,,,,
|gaba.liš|,,𒃮𒇺,,𒃮𒇺,,,,
|gad&gad.gar&gar|,,𒃱,,𒃱,,,,
|gad.dun₃|,,𒃰𒂅,,𒃰𒂅,,,,
|gad.tak₄.giš|,,𒃰𒋺𒄑,,𒃰𒋺𒄑,,,,
|gad.tak₄.si|,,𒃰𒋺𒋛,,𒃰𒋺𒋛,,,,
|gad.tak₄|,,𒃰𒋺,,𒃰𒋺,,,,
|gal.an.zu|,,𒃲𒀭𒍪,,𒃲𒀭𒍪,,,,
|gal.ašgab|,,𒃲𒀿,,𒃲𒀿,,,,
|gal.bar.edin|,,𒃲𒁇𒂔,,𒃲𒁇𒂔,,,,
|gal.bur₂|,,𒃲𒁔,,𒃲𒁔,,,,
|gal.dim|,,𒃲𒁴,,𒃲𒁴,,,,
|gal.dim₂|,,𒃲𒁶,,𒃲𒁶,,,,
|gal.di|,,𒃲𒁲,,𒃲𒁲,,,,
|gal.dun₃@g@g|,,𒃲𒂇,,𒃲𒂇,,,,
|gal.gad&gad.gar&gar|,,𒃳,,𒃳,,,,
|gal.giš.tug₂.te.a.du|,,𒃲𒄑𒌆𒋼𒀀𒁺,,𒃲𒄑𒌆𒋼𒀀𒁺,,,,
|gal.luh|,,𒃲𒈛,,𒃲𒈛,,,,
|gal.nagar|,,𒃲𒉄,,𒃲𒉄,,,,
|gal.ni|,,𒃲𒉌,,𒃲𒉌,,,,
|gal.te.lal|,,𒃲𒋼𒇲,,𒃲𒋼𒇲,,,,
|gal.te|,,𒃲𒋼,,𒃲𒋼,,,,
|gal.umum|,,𒃲𒌣,,𒃲𒌣,,,,
|gal.uri|,,𒃲𒌵,,𒃲𒌵,,,,
|gal.uru×bar|,,𒃲𒌺,,𒃲𒌺,,,,
|gal.zu|,,𒃲𒍪,,𒃲𒍪,,,,
|gal.šubur|,,𒃲𒋚,,𒃲𒋚,,,,
|galam.galam|,,𒃴𒃴,,𒃴𒃴,,,,
|gam.gam|,,𒃵𒃵,,𒃵𒃵,,,,
|gan₂%gan₂|,,𒃺,,𒃺,,,,
|gan₂&gan₂|,,𒃹,,𒃹,,,,
|gan₂.bu|,,𒃷𒁍,,𒃷𒁍,,,,
|gan₂@t.gan₂@t|,,𒃸𒃸,,𒃸𒃸,,,,
|gar.gad.tak₄.ur₂|,,𒃻𒃰𒋺𒌫,,𒃻𒃰𒋺𒌫,,,,
|gar.ga₂×(a.igi)|,,𒃻𒂺,,𒃻𒂺,,,,
|gar.ib|,,𒃻𒅁,,𒃻𒅁,,,,
|gar.kingusili.sila₃|,,𒃻𒑜𒋡,,𒃻𒑜𒋡,,,,
|gar.lagab|,,𒃻𒆸,,𒃻𒆸,,,,
|gar.lu₃|,,𒃻𒈖,,𒃻𒈖,,,,
|gar.pa.te.si|,,𒃻𒉺𒋼𒋛,,𒃻𒉺𒋼𒋛,,,,
|gar.sag.il₂.ezen.sal|,,𒃻𒊕𒅍𒂡𒊩,,𒃻𒊕𒅍𒂡𒊩,,,,
|gar.sag.il₂.ezen.uš|,,𒃻𒊕𒅍𒂡𒍑,,𒃻𒊕𒅍𒂡𒍑,,,,
|gar.šanabi.sila₃|,,𒃻𒑛𒋡,,𒃻𒑛𒋡,,,,
|gar.ša₃.a|,,𒃻𒊮𒀀,,𒃻𒊮𒀀,,,,
|gar.ša₃|,,𒃻𒊮,,𒃻𒊮,,,,
|gar.ša₃×a|,,𒃻𒊯,,𒃻𒊯,,,,
|gar.šid|,,𒃻𒋃,,𒃻𒋃,,,,
|gar.šu.dugud|,,𒃻𒋗𒂂,,𒃻𒋗𒂂,,,,
|gar.šušana.sila₃|,,𒃻𒑚𒋡,,𒃻𒑚𒋡,,,,
|ga₂&ga₂|,,𒃭,,𒃭,,,,
|ga₂×(a.da.ha)|,,𒂸,,𒂸,,,,
|ga₂×(a.ha)|,,𒂹,,𒂹,,,,
|ga₂×(a.igi)|,,𒂺,,𒂺,,,,
|ga₂×(ab₂@t.tab)|,,𒂻,,𒂻,,,,
|ga₂×(aš₂.gal)|,,𒂾,,𒂾,,,,
|ga₂×(bar.ra)|,,𒃀,,𒃀,,,,
|ga₂×(bur.ra)|,,𒃂,,𒃂,,,,
|ga₂×(el.la)|,,𒃈,,𒃈,,,,
|ga₂×(e₂.ne)|,,𒓈,,𒓈,,,,
|ga₂×(gir₂.su)|,,𒃐,,𒃐,,,,
|ga₂×(gi₄.a)|,,𒃏,,𒃏,,,,
|ga₂×(ha.a)|,,𒓀,,𒓀,,,,
|ga₂×(ha.lu.eš₂)|,,𒃑,,𒃑,,,,
|ga₂×(hal.la)|,,𒃓,,𒃓,,,,
|ga₂×(hi.li)|,,𒃔,,𒃔,,,,
|ga₂×(iš.hu.aš)|,,𒃗,,𒃗,,,,
|ga₂×(kid.lal)|,,𒃛,,𒃛,,,,
|ga₂×(ku₃.an)|,,𒃜,,𒃜,,,,
|ga₂×(me.en)|,,𒃞,,𒃞,,,,
|ga₂×(ne.e₂)|,,𒓇,,𒓇,,,,
|ga₂×(ud.du)|,,𒃬,,𒃬,,,,
|ga₂×(še.tur)|,,𒃦,,𒃦,,,,
|ga₂×an.a.tu|,,𒂼𒀀𒌅,,𒂼𒀀𒌅,,,,
|ga₂×an.an.muš₃|,,𒂼𒀭𒈹,,𒂼𒀭𒈹,,,,
|ga₂×an.dun₃@g|,,𒂼𒂆,,𒂼𒂆,,,,
|ga₂×an.kak.a|,,𒂼𒆕𒀀,,𒂼𒆕𒀀,,,,
|ga₂×an.lul|,,𒂼𒈜,,𒂼𒈜,,,,
|ga₂×an.tu|,,𒂼𒌅,,𒂼𒌅,,,,
|ga₂×an.x|,,𒂼,,𒂼,,,,
|ga₂×an.šim|,,𒂼𒋆,,𒂼𒋆,,,,
|ga₂×an.šim×gar|,,𒂼𒋋,,𒂼𒋋,,,,
|ga₂×an|,,𒂼,,𒂼,,,,
|ga₂×aš|,,𒂽,,𒂽,,,,
|ga₂×bad|,,𒂿,,𒂿,,,,
|ga₂×bur|,,𒃁,,𒃁,,,,
|ga₂×da|,,𒃃,,𒃃,,,,
|ga₂×dim×še|,,𒃅,,𒃅,,,,
|ga₂×di|,,𒃄,,𒃄,,,,
|ga₂×dub|,,𒃆,,𒃆,,,,
|ga₂×el|,,𒃇,,𒃇,,,,
|ga₂×en.nun|,,𒃉𒉣,,𒃉𒉣,,,,
|ga₂×en|,,𒃉,,𒃉,,,,
|ga₂×en×gan₂@t|,,𒃊,,𒃊,,,,
|ga₂×eren|,,𒒼,,𒒼,,,,
|ga₂×gan₂@t|,,𒃋,,𒃋,,,,
|ga₂×gar|,,𒃌,,𒃌,,,,
|ga₂×gi|,,𒃍,,𒃍,,,,
|ga₂×gi₄|,,𒃎,,𒃎,,,,
|ga₂×hal|,,𒃒,,𒃒,,,,
|ga₂×hub₂|,,𒃕,,𒃕,,,,
|ga₂×igi@g|,,𒃖,,𒃖,,,,
|ga₂×kak|,,𒃘,,𒃘,,,,
|ga₂×kaskal|,,𒃙,,𒃙,,,,
|ga₂×kid|,,𒃚,,𒃚,,,,
|ga₂×la|,,𒃝,,𒃝,,,,
|ga₂×mi|,,𒃟,,𒃟,,,,
|ga₂×nun&nun|,,𒃡,,𒃡,,,,
|ga₂×nun|,,𒃠,,𒃠,,,,
|ga₂×pa|,,𒃢,,𒃢,,,,
|ga₂×sal|,,𒃣,,𒃣,,,,
|ga₂×sar|,,𒃤,,𒃤,,,,
|ga₂×sum|,,𒃨,,𒃨,,,,
|ga₂×tak₄|,,𒃩,,𒃩,,,,
|ga₂×ud|,,𒃫,,𒃫,,,,
|ga₂×u|,,𒃪,,𒃪,,,,
|ga₂×ziz₂|,,𒓊,,𒓊,,,,
|ga₂×še|,,𒃥,,𒃥,,,,
|ga₂×šid|,,𒃧,,𒃧,,,,
|geštin×kur|,,𒃿,,𒃿,,,,
|gi%gi|,,𒄃,,𒄃,,,,
|gi.kak|,,𒄀𒆕,,𒄀𒆕,,,,
|gi.lu|,,𒄀𒇻,,𒄀𒇻,,,,
|gi.na.ab.na.tum|,,𒄀𒈾𒀊𒈾𒌈,,𒄀𒈾𒀊𒈾𒌈,,,,
|gi.na.ab.tum|,,𒄀𒈾𒀊𒌈,,𒄀𒈾𒀊𒌈,,,,
|gi.na.ab.u.gud|,,𒄀𒈾𒀊𒌋𒄞,,𒄀𒈾𒀊𒌋𒄞,,,,
|gi.pad|,,𒄀𒉻,,𒄀𒉻,,,,
|gir₃.arad|,,𒄊𒀴,,𒄊𒀴,,,,
|gir₃.bar|,,𒄊𒁇,,𒄊𒁇,,,,
|gir₃.ga₂×pa.a.an|,,𒄊𒃢𒀀𒀭,,𒄊𒃢𒀀𒀭,,,,
|gir₃.za@t|,,𒄊𒍞,,𒄊𒍞,,,,
|gir₃.šu.ig|,,𒄊𒋗𒅅,,𒄊𒋗𒅅,,,,
|gir₃×(a.igi)|,,𒄋,,𒄋,,,,
|gir₃×(lu.igi)|,,𒄎,,𒄎,,,,
|gir₃×gan₂@t|,,𒄌,,𒄌,,,,
|gir₃×igi|,,𒄍,,𒄍,,,,
|gir₃×pa|,,𒄏,,𒄏,,,,
|gisal.pad.si.a|,,𒄐𒉻𒋛𒀀,,𒄐𒉻𒋛𒀀,,,,
|gi×tak₄|,,𒄂,,𒄂,,,,
